"tipo_eleccion";"anno";"mes";"vuelta";"codigo_ccaa";"codigo_provincia";"codigo_distrito_electoral";"ambito_territorial";"poblacion_derecho";"n_diputados";"numero_mesas";"censo_ine";"censo_escrutinio";"censo_cere";"votantes_cere";"participacion_1";"participacion_2";"votos_blancos";"votos_nulos";"votos_candidaturas";"votos_afirmativos";"votos_negativos";"codigo_partido_nacional";"codigo_partido_autonomia";"codigo_partido_provincia";"codigo_partido";"denominacion";"siglas";"votos";"diputados";"datos_oficiales"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000061";"000058";"000058";"000058";"PARTIDO COMUNISTA DEL PUEBLO ANDALUZ";"PCPA";371;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000064";"000064";"000064";"000064";"PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA";"PCTE";322;0;"S"
"02";"2019";"11";"1";"01";"18";"9";"Granada";912075;7;1100;755007;755007;0;0;254747;389916;4528;8123;478251;0;0;"000039";"000039";"000039";"000039";"IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA";"IZAR";113;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";91656;3;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";52485;1;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";49452;1;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";30389;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";18382;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";2535;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000009";"000009";"000009";"000009";"ANDALUCÍA POR SÍ";"AxSÍ";856;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000101";"000101";"000101";"000101";"RECORTES CERO-GRUPO VERDE";"RECORTES CERO-GV";495;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000057";"000057";"000057";"000057";"PARTIDO COMUNISTA OBRERO ESPAÑOL";"PCOE";464;0;"S"
