;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
127;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;86;0;51.82;0.1;1.33;1.52;0.0
128;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN;FIA;75;0;51.82;0.08;1.33;1.52;0.0
129;2;22;Huesca;219345;3;399;172721;172722;89512;1363;1194;112234;PUYALON;PYLN;73;0;51.82;0.08;1.33;1.52;0.0
130;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;AGRUPACIÓN DE ELECTORES TERUEL EXISTE;¡TERUEL EXI;19761;1;55.43;33.17;0.89;0.68;33.33
131;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;18934;1;55.43;31.79;0.89;0.68;33.33
132;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;PARTIDO POPULAR;PP;17520;1;55.43;29.41;0.89;0.68;33.33
133;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;VOX;VOX;9346;0;55.43;15.69;0.89;0.68;0.0
134;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;UNIDAS PODEMOS;PODEMOS-IU;3982;0;55.43;6.68;0.89;0.68;0.0
135;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;3732;0;55.43;6.27;0.89;0.68;0.0
136;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;212;0;55.43;0.36;0.89;0.68;0.0
