;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
771;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;CONTIGO SOMOS DEMOCRACIA;CONTIGO;317;0;56.07;0.05;1.25;0.88;0.0
772;15;99;Región de Murcia;1478509;10;1685;1061840;1061841;595322;5253;7418;709674;DEMOCRACIA PLURAL;DPL;214;0;56.07;0.04;1.25;0.88;0.0
773;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;57485;2;53.67;42.81;1.95;1.31;50.0
774;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO POPULAR;PP;56450;2;53.67;42.04;1.95;1.31;50.0
775;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;VOX;VOX;18908;0;53.67;14.08;1.95;1.31;0.0
776;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;UNIDAS PODEMOS;PODEMOS-IU;16273;0;53.67;12.12;1.95;1.31;0.0
777;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;11673;0;53.67;8.69;1.95;1.31;0.0
778;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;1096;0;53.67;0.82;1.95;1.31;0.0
779;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;ESCAÑOS EN BLANCO;EB;425;0;53.67;0.32;1.95;1.31;0.0
780;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;307;0;53.67;0.23;1.95;1.31;0.0
781;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;POR UN MUNDO MÁS JUSTO;PUM+J;297;0;53.67;0.22;1.95;1.31;0.0
782;16;26;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;263;0;53.67;0.2;1.95;1.31;0.0
783;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;57485;2;53.67;42.81;1.95;1.31;50.0
784;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO POPULAR;PP;56450;2;53.67;42.04;1.95;1.31;50.0
785;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;VOX;VOX;18908;0;53.67;14.08;1.95;1.31;0.0
786;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;UNIDAS PODEMOS;PODEMOS-IU;16273;0;53.67;12.12;1.95;1.31;0.0
787;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;11673;0;53.67;8.69;1.95;1.31;0.0
788;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;1096;0;53.67;0.82;1.95;1.31;0.0
789;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;ESCAÑOS EN BLANCO;EB;425;0;53.67;0.32;1.95;1.31;0.0
790;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;307;0;53.67;0.23;1.95;1.31;0.0
791;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;POR UN MUNDO MÁS JUSTO;PUM+J;297;0;53.67;0.22;1.95;1.31;0.0
792;16;99;La Rioja;315675;4;497;250213;250213;134283;1757;2615;163177;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;263;0;53.67;0.2;1.95;1.31;0.0
837;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;700159;10;58.14;32.83;1.1;0.93;31.25
838;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;PARTIDO POPULAR;PP;584415;8;58.14;27.4;1.1;0.93;25.0
839;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;VOX;VOX;468134;7;58.14;21.95;1.1;0.93;21.88
840;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;UNIDAS PODEMOS-UNIDES PODEM;PODEMOS-EUPV;339596;4;58.14;15.92;1.1;0.93;12.5
841;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;196265;2;58.14;9.2;1.1;0.93;6.25
842;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;MÉS COMPROMÍS;MÉS COMPROM;176287;1;58.14;8.27;1.1;0.93;3.12
843;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;27295;0;58.14;1.28;1.1;0.93;0.0
844;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ;ERPV;5875;0;58.14;0.28;1.1;0.93;0.0
845;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;AVANT ADELANTE LOS VERDES;AVANT ADELANTE LOS VERDES;5416;0;58.14;0.25;1.1;0.93;0.0
846;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;2688;0;58.14;0.13;1.1;0.93;0.0
847;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;SOM VALENCIANS EN MOVIMENT;UIG-SOM-CUIDES;2339;0;58.14;0.11;1.1;0.93;0.0
848;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;POR UN MUNDO MÁS JUSTO;PUM+J;2327;0;58.14;0.11;1.1;0.93;0.0
849;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;2247;0;58.14;0.11;1.1;0.93;0.0
850;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;UNIDOS Actuando por la Democracia;UNIDOS SÍ-A;1067;0;58.14;0.05;1.1;0.93;0.0
851;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;CONTIGO SOMOS DEMOCRACIA;CONTIGO;875;0;58.14;0.04;1.1;0.93;0.0
852;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;AUNA COMUNITAT VALENCIANA;AUNACV;572;0;58.14;0.03;1.1;0.93;0.0
853;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;PARTIDO LIBERTARIO;P-LIB;556;0;58.14;0.03;1.1;0.93;0.0
854;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;379;0;58.14;0.02;1.1;0.93;0.0
855;17;99;Comunitat Valenciana;4963703;32;6043;3667615;3667628;2132516;19814;23504;2516629;FALANGE ESPAÑOLA DE LAS JONS;FE de las J;137;0;58.14;0.01;1.1;0.93;0.0
856;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;VOX;VOX;11752;1;41.88;44.88;1.34;1.24;100.0
857;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;10455;0;41.88;39.93;1.34;1.24;0.0
858;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;PARTIDO POPULAR;PP;7439;0;41.88;28.41;1.34;1.24;0.0
859;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;UNIDAS PODEMOS;PODEMOS-IU;1300;0;41.88;4.97;1.34;1.24;0.0
860;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;1138;0;41.88;4.35;1.34;1.24;0.0
861;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;MOVIMIENTO POR LA DIGNIDAD Y LA CIUDADANÍA DE CEUT;MDyC;819;0;41.88;3.13;1.34;1.24;0.0
862;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;125;0;41.88;0.48;1.34;1.24;0.0
863;18;51;Ceuta;85144;1;96;62513;62513;26183;324;351;33071;POR UN MUNDO MÁS JUSTO;PUM+J;43;0;41.88;0.16;1.34;1.24;0.0
872;19;52;Melilla;86384;1;87;59496;59497;21164;185;240;30747;PARTIDO POPULAR;PP;9136;1;35.57;43.17;1.13;0.87;100.0
